title,slug,summary,activityType,difficultyLevel,durationMinDays,durationMaxDays,maxAltitudeMeters,districts,seasons,tags,editorEmail,content,approvalStatus
Everest Base Camp Trek,,"The Everest Base Camp Trek is Nepal's most iconic trekking adventure, taking hikers through the heart of the Khumbu region to the foot of the world's highest mountain, Mount Everest (8,848.86 m). Along the way, trekkers experience breathtaking Himalayan landscapes, Sherpa culture, ancient monasteries, suspension bridges, and Sagarmatha National Park while acclimatizing through picturesque villages such as Namche Bazaar, Tengboche, Dingboche, and Lobuche. Reaching Everest Base Camp at 5,364 meters and hiking to Kala Patthar for panoramic sunrise views are the highlights of this unforgettable high-altitude journey, making it one of the world's most sought-after trekking experiences.",teahouse-trekking,challenging,12,16,5545,solukhumbu,"spring,autumn","everest,base-camp,himalayas,sherpa-culture,sagarmatha-national-park,kala-patthar,high-altitude,teahouse,unesco-world-heritage,mountain-views",,,
Everest Three Passes Trek,,"The Everest Three Passes Trek is the ultimate trekking adventure in Nepal's Khumbu region, combining the classic Everest Base Camp route with crossings of the three high mountain passes—Kongma La (5,535 m), Cho La (5,420 m), and Renjo La (5,360 m). This demanding circuit offers spectacular views of Everest, Lhotse, Makalu, Cho Oyu, and countless other Himalayan peaks while visiting iconic destinations such as Namche Bazaar, Gokyo Lakes, Everest Base Camp, and Kala Patthar. With its challenging terrain, glacier crossings, and remote alpine landscapes, it is regarded as one of the finest high-altitude trekking experiences in the world.",teahouse-trekking,strenuous,18,21,5555,solukhumbu,"spring,autumn","everest,three-passes,kongma-la,cho-la,renjo-la,gokyo-lakes,everest-base-camp,kala-patthar,sagarmatha-national-park,sherpa-culture,high-altitude,glacier-crossing,mountain-views,circuit-trek",,,
Gokyo Lakes Trek,,"The Gokyo Lakes Trek is a spectacular high-altitude journey through Nepal's Khumbu region, leading trekkers to the pristine turquoise lakes of Gokyo Valley and the panoramic summit of Gokyo Ri. The trek follows the Dudh Koshi Valley through traditional Sherpa villages, rhododendron forests, and alpine landscapes before reaching the sacred glacial lakes beneath some of the world's highest peaks. With breathtaking views of Everest, Lhotse, Makalu, and Cho Oyu, fewer crowds than the Everest Base Camp route, and the chance to explore the vast Ngozumpa Glacier, the Gokyo Lakes Trek is one of Nepal's most rewarding Himalayan adventures.",teahouse-trekking,challenging,12,15,5357,solukhumbu,"spring,autumn","gokyo-lakes,gokyo-ri,everest,khumbu,ngozumpa-glacier,sherpa-culture,sagarmatha-national-park,glacial-lakes,mountain-views,high-altitude,teahouse",,,
Gokyo Ri Trek,,"The Gokyo Ri Trek is a scenic Himalayan adventure in Nepal's Khumbu region that takes trekkers to the summit of Gokyo Ri (5,357 m), one of the finest viewpoints in the Everest region. Passing through traditional Sherpa villages, alpine meadows, and the stunning Gokyo Lakes, the trail offers incredible panoramas of Mount Everest, Lhotse, Makalu, Cho Oyu, and the immense Ngozumpa Glacier. With fewer crowds than the Everest Base Camp route, this trek provides an excellent combination of breathtaking mountain scenery, rich Sherpa culture, and high-altitude trekking without the need to visit Everest Base Camp.",teahouse-trekking,challenging,10,13,5357,solukhumbu,"spring,autumn","gokyo-ri,gokyo-lakes,everest,khumbu,ngozumpa-glacier,sherpa-culture,sagarmatha-national-park,mountain-views,high-altitude,teahouse,sunrise-viewpoint",,,
Cho La Pass Trek,,"The Cho La Pass Trek is a thrilling high-altitude trek in Nepal's Everest region that connects the Gokyo Valley with the Everest Base Camp trail via the dramatic Cho La Pass (5,420 m). Trekkers journey through Sherpa villages, turquoise glacial lakes, rugged alpine terrain, and the vast Ngozumpa Glacier before crossing one of the Khumbu's most challenging mountain passes. Combining the beauty of Gokyo Lakes, Everest Base Camp, and Kala Patthar with an exciting alpine crossing, the trek offers an unforgettable adventure for experienced hikers seeking diverse landscapes and spectacular Himalayan views.",teahouse-trekking,strenuous,15,18,5545,solukhumbu,"spring,autumn","cho-la-pass,everest-base-camp,gokyo-lakes,kala-patthar,everest,khumbu,ngozumpa-glacier,sherpa-culture,sagarmatha-national-park,high-altitude,glacier-crossing,mountain-views,teahouse",,,
Renjo La Pass Trek,,"The Renjo La Pass Trek is a breathtaking adventure in Nepal's Everest region that crosses the scenic Renjo La Pass (5,360 m), linking the Gokyo Valley with the remote Bhote Koshi Valley. The trek follows peaceful trails through traditional Sherpa villages, pristine alpine landscapes, and the stunning Gokyo Lakes before ascending to one of the finest viewpoints in the Khumbu. From the pass, trekkers are rewarded with panoramic views of Everest, Lhotse, Makalu, Cho Oyu, and countless surrounding peaks, making this a quieter yet equally rewarding alternative to the classic Everest Base Camp route.",teahouse-trekking,strenuous,13,16,5360,solukhumbu,"spring,autumn","renjo-la-pass,gokyo-lakes,everest,khumbu,cho-oyu,makalu,lhotse,sherpa-culture,sagarmatha-national-park,high-altitude,mountain-pass,mountain-views,teahouse",,,
Island Peak Climb,,"The Island Peak Climb is Nepal's most popular trekking peak expedition, combining a classic Everest region trek with a rewarding non-technical mountaineering experience. After trekking through Sherpa villages and the spectacular Khumbu Valley, climbers establish a high camp before ascending Island Peak (Imja Tse) at 6,189 meters using crampons, fixed ropes, and basic alpine climbing techniques. The summit offers breathtaking views of Lhotse, Nuptse, Ama Dablam, Makalu, and the surrounding Himalayan giants, making it an ideal introduction to Himalayan mountaineering.",peak-climbing,extreme,16,20,6189,solukhumbu,"spring,autumn","island-peak,imja-tse,peak-climbing,everest,khumbu,sherpa-culture,high-altitude,mountaineering,fixed-ropes,crampons,summit,ama-dablam,mountain-views",,,
Lobuche East Peak Climb,,"The Lobuche East Peak Climb is a challenging trekking peak expedition in Nepal's Everest region, offering experienced climbers an exciting blend of high-altitude trekking and technical mountaineering. Following the classic Everest Base Camp trail through Sherpa villages and Sagarmatha National Park, the climb culminates on Lobuche East (6,119 m), where climbers use crampons, ice axes, and fixed ropes to reach the summit. The reward is an unforgettable panorama of Everest, Lhotse, Nuptse, Ama Dablam, Pumori, and the surrounding Himalayan peaks, making it one of Nepal's most sought-after alpine adventures.",peak-climbing,extreme,17,20,6119,solukhumbu,"spring,autumn","lobuche-east,peak-climbing,everest-base-camp,everest,khumbu,sagarmatha-national-park,high-altitude,mountaineering,fixed-ropes,crampons,ice-axe,summit,ama-dablam,mountain-views",,,
Mera Peak Climb,,"The Mera Peak Climb is Nepal's highest trekking peak expedition, taking climbers through the remote Hinku Valley to the summit of Mera Peak (6,476 m). The journey combines scenic trekking through pristine forests, alpine meadows, and traditional mountain villages with a gradual ascent to high-altitude glaciers before the final summit push. Although technically less demanding than many Himalayan peaks, the extreme altitude makes the climb physically challenging. From the summit, climbers enjoy one of the finest panoramas in the Himalayas, with views of Everest, Lhotse, Makalu, Cho Oyu, and Kanchenjunga.",peak-climbing,extreme,16,20,6476,solukhumbu,"spring,autumn","mera-peak,peak-climbing,hinku-valley,everest,makalu,cho-oyu,lhotse,kanchenjunga,high-altitude,mountaineering,glacier,summit,crampons,mountain-views",,,
Ama Dablam Base Camp Trek,,"A scenic trek in the Khumbu region to the base of Ama Dablam (6,812 m), one of the most photogenic peaks in the Himalayas, passing through Namche Bazaar and Pangboche with close-up views of Everest, Lhotse, and Kantega.",teahouse-trekking,moderate,10,12,4600,solukhumbu,"spring,autumn","ama-dablam,khumbu,sherpa-culture,namche-bazaar,mountain-views,sagarmatha-national-park,teahouse",,,
